CustID,usageCount,Tier1Cust,premierlastActivated,premierServiceEligible
eipk232902,636,No,02-2024,No
eipk232903,629,No,08-2019,No
eipk232904,694,No,05-2021,No
eipk232905,616,No,08-2018,No
eipk232906,863,No,02-2020,No
eipk232907,931,No,01-2022,No
eipk232908,568,No,09-2020,No
eipk232909,957,No,12-2019,No
eipk232910,527,No,01-2019,No
eipk232911,834,No,11-2019,No
eipk232912,513,No,03-2021,No
eipk232913,545,No,03-2021,No
eipk232914,970,No,02-2018,No
eipk232915,896,No,12-2019,No
eipk232916,515,No,03-2020,No
eipk232917,977,No,11-2022,No
eipk232918,923,No,08-2020,No
eipk232919,955,No,04-2021,No
eipk232920,708,No,04-2018,No
eipk232921,657,No,10-2020,No
eipk232922,836,No,01-2019,No
eipk232923,726,No,12-2019,No
eipk232924,948,No,12-2018,No
eipk232925,740,No,03-2024,No
eipk232926,557,No,06-2018,No
eipk232927,971,No,01-2022,No
eipk232928,803,No,11-2019,No
eipk232929,804,No,12-2021,No
eipk232930,844,No,05-2023,No
eipk232931,629,No,05-2024,No
eipk232932,716,No,07-2021,No
eipk232933,513,No,05-2024,No
eipk232934,858,No,09-2018,No
eipk232935,876,No,04-2018,No
eipk232936,742,No,03-2021,No
eipk232937,980,No,05-2023,No
eipk232938,644,No,11-2020,No
eipk232939,878,No,12-2018,No
eipk232940,914,No,07-2019,No
eipk232941,893,No,08-2020,No
eipk232942,825,No,09-2019,No
eipk232943,602,No,08-2021,No
eipk232944,716,No,05-2021,No
eipk232945,857,No,07-2022,No
eipk232946,920,No,02-2018,No
eipk232947,563,No,12-2018,No
eipk232948,657,No,03-2024,No
eipk232949,661,No,12-2018,No
eipk232950,517,No,04-2019,No
eipk232951,715,No,04-2020,No
eipk232952,818,No,05-2021,No
eipk232953,548,No,08-2020,No
eipk232954,555,No,12-2020,No
eipk232955,846,No,08-2023,No
eipk232956,557,No,02-2022,No
eipk232957,654,No,04-2023,No
eipk232958,554,No,10-2018,No
eipk232959,986,No,04-2020,No
eipk232960,840,No,05-2020,No
eipk232961,518,No,11-2022,No
eipk232962,986,No,12-2019,No
eipk232963,650,No,03-2023,No
eipk232964,858,No,10-2022,No
eipk232965,867,No,02-2024,No
eipk232966,607,No,08-2022,No
eipk232967,546,No,12-2018,No
eipk232968,706,No,01-2020,No
eipk232969,862,No,07-2023,No
eipk232970,949,No,09-2020,No
eipk232971,982,No,04-2021,No
eipk232972,934,No,06-2019,No
eipk232973,839,No,04-2019,No
eipk232974,911,No,04-2019,No
eipk232975,627,No,09-2019,No
eipk232976,684,No,04-2018,No
eipk232977,557,No,11-2019,No
eipk232978,642,No,12-2018,No
eipk232979,899,No,04-2020,No
eipk232980,596,No,08-2023,No
eipk232981,546,No,12-2018,No
eipk232982,690,No,07-2020,No
eipk232983,639,No,06-2018,No
eipk232984,602,No,01-2019,No
eipk232985,730,No,04-2021,No
eipk232986,926,No,06-2021,No
eipk232987,839,No,04-2024,No
eipk232988,912,No,05-2018,No
eipk232989,990,No,10-2019,No
eipk232990,548,No,11-2023,No
eipk232991,886,No,07-2018,No
eipk232992,611,No,03-2024,No
eipk232993,952,No,02-2024,No
eipk232994,815,No,12-2023,No
eipk232995,821,No,10-2018,No
eipk232996,586,No,04-2022,No
eipk232997,881,No,08-2022,No
eipk232998,973,No,05-2021,No
eipk232999,781,No,01-2022,No
eipk233000,826,No,10-2019,No
eipk233001,751,No,02-2020,No
eipk233002,573,No,04-2019,No
eipk233003,952,No,03-2019,No
eipk233004,546,No,05-2018,No
eipk233005,575,No,10-2023,No
eipk233006,595,No,09-2019,No
eipk233007,925,No,10-2018,No
eipk233008,530,No,06-2020,No
eipk233009,521,No,02-2020,No
eipk233010,516,No,08-2021,No
eipk233011,711,No,05-2022,No
eipk233012,647,No,04-2024,No
eipk233013,734,No,04-2020,No
eipk233014,891,No,01-2019,No
eipk233015,994,No,12-2022,No
eipk233016,853,No,09-2019,No
eipk233017,804,No,08-2020,No
eipk233018,586,No,11-2022,No
eipk233019,537,No,06-2022,No
eipk233020,552,No,06-2023,No
eipk233021,527,No,08-2018,No
eipk233022,576,No,05-2021,No
eipk233023,912,No,10-2018,No
eipk233024,699,No,06-2023,No
eipk233025,894,No,12-2018,No
eipk233026,930,No,02-2018,No
eipk233027,672,No,06-2020,No
eipk233028,773,No,02-2024,No
eipk233029,549,No,04-2024,No
eipk233030,844,No,01-2019,No
eipk233031,676,No,04-2019,No
eipk233032,905,No,09-2023,No
eipk233033,800,No,05-2023,No
eipk233034,944,No,04-2021,No
eipk233035,726,No,05-2018,No
eipk233036,626,No,08-2021,No
eipk233037,848,No,05-2018,No
eipk233038,520,No,04-2019,No
eipk233039,698,No,09-2020,No
eipk233040,688,No,04-2020,No
eipk233041,831,No,10-2019,No
eipk233042,919,No,04-2018,No
eipk233043,651,No,10-2020,No
eipk233044,659,No,01-2021,No
eipk233045,846,No,12-2020,No
eipk233046,979,No,02-2022,No
eipk233047,942,No,10-2022,No
eipk233048,595,No,04-2018,No
eipk233049,851,No,07-2023,No
eipk233050,973,No,11-2018,No
eipk233051,574,No,11-2020,No
eipk233052,865,No,10-2023,No
eipk233053,581,No,04-2023,No
eipk233054,627,No,05-2022,No
eipk233055,858,No,11-2021,No
eipk233056,632,No,08-2018,No
eipk233057,899,No,07-2023,No
eipk233058,638,No,02-2023,No
eipk233059,745,No,11-2021,No
eipk233060,790,No,09-2019,No
eipk233061,611,No,01-2022,No
eipk233062,702,No,02-2023,No
eipk233063,669,No,09-2019,No
eipk233064,586,No,07-2020,No
eipk233065,618,No,11-2018,No
eipk233066,597,No,03-2022,No
eipk233067,739,No,05-2020,No
eipk233068,836,No,04-2019,No
eipk233069,637,No,06-2022,No
eipk233070,581,No,04-2018,No
eipk233071,735,No,03-2020,No
eipk233072,635,No,07-2023,No
eipk233073,781,No,08-2023,No
eipk233074,502,No,11-2018,No
eipk233075,558,No,01-2019,No
eipk233076,615,No,08-2018,No
eipk233077,971,No,07-2021,No
eipk233078,630,No,12-2022,No
eipk233079,921,No,05-2018,No
eipk233080,885,No,02-2020,No
eipk233081,982,No,04-2022,No
eipk233082,900,No,04-2020,No
eipk233083,700,No,09-2018,No
eipk233084,791,No,10-2022,No
eipk233085,841,No,06-2022,No
eipk233086,978,No,03-2023,No
eipk233087,597,No,04-2018,No
eipk233088,715,No,02-2018,No
eipk233089,623,No,11-2021,No
eipk233090,572,No,02-2021,No
eipk233091,865,No,07-2022,No
eipk233092,877,No,06-2022,No
eipk233093,990,No,06-2022,No
eipk233094,629,No,10-2020,No
eipk233095,968,No,07-2019,No
eipk233096,917,No,10-2020,No
eipk233097,526,No,06-2020,No
eipk233098,664,No,03-2023,No
eipk233099,954,No,08-2018,No
eipk233100,905,No,04-2018,No
eipk233101,567,No,07-2023,No
eipk233102,513,No,03-2019,No
eipk233103,597,No,07-2021,No
eipk233104,778,No,11-2023,No
eipk233105,927,No,02-2018,No
eipk233106,989,No,04-2018,No
eipk233107,972,No,07-2023,No
eipk233108,948,No,09-2018,No
eipk233109,870,No,01-2021,No
eipk233110,746,No,07-2018,No
eipk233111,611,No,04-2024,No
eipk233112,706,No,09-2022,No
eipk233113,851,No,03-2020,No
eipk233114,833,No,10-2020,No
eipk233115,732,No,01-2020,No
eipk233116,560,No,06-2020,No
eipk233117,584,No,05-2021,No
eipk233118,682,No,06-2020,No
eipk233119,738,No,05-2018,No
eipk233120,749,No,07-2022,No
eipk233121,570,No,10-2021,No
eipk233122,727,No,12-2023,No
eipk233123,584,No,07-2023,No
eipk233124,805,No,04-2021,No
eipk233125,987,No,03-2021,No
eipk233126,895,No,01-2024,No
eipk233127,962,No,11-2023,No
eipk233128,770,No,03-2024,No
eipk233129,900,No,02-2020,No
eipk233130,789,No,12-2019,No
eipk233131,735,No,09-2020,No
eipk233132,790,No,04-2023,No
eipk233133,538,No,10-2021,No
eipk233134,985,No,01-2018,No
eipk233135,705,No,07-2023,No
eipk233136,682,No,02-2020,No
eipk233137,686,No,08-2019,No
eipk233138,632,No,11-2023,No
eipk233139,529,No,08-2021,No
eipk233140,887,No,01-2024,No
eipk233141,754,No,08-2019,No
eipk233142,642,No,03-2022,No
eipk233143,602,No,03-2024,No
eipk233144,918,No,10-2021,No
eipk233145,992,No,01-2021,No
eipk233146,573,No,12-2021,No
eipk233147,554,No,07-2021,No
eipk233148,949,No,04-2019,No
eipk233149,735,No,05-2020,No
eipk233150,559,No,04-2019,No
eipk233151,523,No,09-2022,No
eipk233152,975,No,04-2018,No
eipk233153,521,No,05-2020,No
eipk233154,927,No,06-2021,No
eipk233155,531,No,10-2023,No
eipk233156,850,No,11-2019,No
eipk233157,838,No,08-2020,No
eipk233158,934,No,10-2022,No
eipk233159,968,No,07-2023,No
eipk233160,502,No,02-2024,No
eipk233161,569,No,04-2024,No
eipk233162,659,No,04-2020,No
eipk233163,885,No,02-2024,No
eipk233164,587,No,06-2023,No
eipk233165,864,No,03-2020,No
eipk233166,558,No,06-2022,No
eipk233167,751,No,04-2024,No
eipk233168,718,No,02-2020,No
eipk233169,700,No,08-2019,No
eipk233170,576,No,09-2020,No
eipk233171,754,No,12-2023,No
eipk233172,746,No,03-2018,No
eipk233173,769,No,05-2018,No
eipk233174,806,No,11-2020,No
eipk233175,638,No,08-2020,No
eipk233176,577,No,08-2022,No
eipk233177,579,No,11-2020,No
eipk233178,509,No,12-2022,No
eipk233179,967,No,01-2022,No
eipk233180,835,No,10-2023,No
eipk233181,623,No,06-2021,No
eipk233182,685,No,08-2022,No
eipk233183,533,No,09-2022,No
eipk233184,620,No,01-2021,No
eipk233185,579,No,10-2023,No
eipk233186,705,No,10-2022,No
eipk233187,552,No,05-2023,No
eipk233188,655,No,12-2020,No
eipk233189,773,No,02-2019,No
eipk233190,909,No,05-2022,No
eipk233191,857,No,08-2020,No
eipk233192,634,No,07-2023,No
eipk233193,928,No,12-2018,No
eipk233194,597,No,06-2019,No
eipk233195,994,No,06-2018,No
eipk233196,740,No,06-2022,No
eipk233197,544,No,07-2020,No
eipk233198,698,No,03-2019,No
eipk233199,980,No,02-2023,No
eipk233200,790,No,09-2021,No
eipk233201,935,No,11-2021,No
eipk233202,613,No,11-2019,No
eipk233203,986,No,12-2022,No
eipk233204,776,No,05-2023,No
eipk233205,740,No,06-2022,No
eipk233206,655,No,06-2018,No
eipk233207,851,No,05-2019,No
eipk233208,543,No,12-2020,No
eipk233209,579,No,01-2022,No
eipk233210,811,No,10-2023,No
eipk233211,637,No,05-2021,No
eipk233212,650,No,01-2018,No
eipk233213,931,No,10-2023,No
eipk233214,935,No,02-2019,No
eipk233215,741,No,03-2019,No
eipk233216,642,No,01-2021,No
eipk233217,810,No,11-2020,No
eipk233218,798,No,11-2018,No
eipk233219,549,No,02-2022,No
eipk233220,761,No,12-2022,No
eipk233221,660,No,01-2020,No
eipk233222,561,No,02-2024,No
eipk233223,554,No,04-2019,No
eipk233224,922,No,06-2021,No
eipk233225,895,No,05-2020,No
eipk233226,871,No,04-2022,No
eipk233227,983,No,10-2018,No
eipk233228,530,No,10-2018,No
eipk233229,829,No,08-2022,No
eipk233230,936,No,01-2024,No
eipk233231,789,No,04-2022,No
eipk233232,668,No,04-2019,No
eipk233233,765,No,02-2019,No
eipk233234,807,No,06-2021,No
eipk233235,958,No,05-2022,No
eipk233236,684,No,05-2018,No
eipk233237,833,No,03-2020,No
eipk233238,502,No,03-2022,No
eipk233239,940,No,11-2018,No
eipk233240,660,No,01-2019,No
eipk233241,890,No,10-2023,No
eipk233242,759,No,11-2019,No
eipk233243,922,No,06-2022,No
eipk233244,547,No,04-2018,No
eipk233245,753,No,09-2021,No
eipk233246,573,No,10-2021,No
eipk233247,834,No,10-2021,No
eipk233248,899,No,01-2021,No
eipk233249,665,No,04-2022,No
eipk233250,759,No,12-2021,No
eipk233251,503,No,11-2020,No
eipk233252,875,No,12-2019,No
eipk233253,618,No,06-2022,No
eipk233254,983,No,08-2023,No
eipk233255,910,No,10-2020,No
eipk233256,969,No,04-2022,No
eipk233257,969,No,09-2023,No
eipk233258,772,No,11-2020,No
eipk233259,992,No,08-2020,No
eipk233260,725,No,08-2023,No
eipk233261,851,No,01-2023,No
eipk233262,999,No,01-2019,No
eipk233263,569,No,12-2020,No
eipk233264,681,No,04-2018,No
eipk233265,852,No,03-2020,No
eipk233266,763,No,04-2021,No
eipk233267,869,No,01-2021,No
eipk233268,680,No,07-2021,No
eipk233269,983,No,02-2021,No
eipk233270,504,No,10-2021,No
eipk233271,696,No,05-2024,No
eipk233272,546,No,12-2021,No
eipk233273,957,No,08-2022,No
eipk233274,539,No,10-2022,No
eipk233275,621,No,04-2018,No
eipk233276,634,No,02-2018,No
eipk233277,639,No,08-2020,No
eipk233278,849,No,01-2018,No
eipk233279,652,No,12-2018,No
eipk233280,527,No,01-2019,No
eipk233281,926,No,08-2022,No
eipk233282,576,No,07-2019,No
eipk233283,674,No,09-2019,No
eipk233284,548,No,07-2023,No
eipk233285,841,No,09-2019,No
eipk233286,809,No,06-2020,No
eipk233287,773,No,11-2023,No
eipk233288,526,No,03-2022,No
eipk233289,827,No,04-2023,No
eipk233290,889,No,12-2020,No
eipk233291,958,No,05-2019,No
eipk233292,720,No,02-2019,No
eipk233293,621,No,12-2022,No
eipk233294,860,No,04-2020,No
eipk233295,568,No,05-2022,No
eipk233296,570,No,12-2023,No
eipk233297,649,No,08-2020,No
eipk233298,686,No,01-2024,No
eipk233299,930,No,02-2022,No
eipk233300,872,No,08-2018,No
eipk233301,745,No,08-2021,No
eipk233302,695,No,01-2023,No
eipk233303,531,No,03-2018,No
eipk233304,966,No,03-2020,No
eipk233305,608,No,11-2020,No
eipk233306,852,No,05-2018,No
eipk233307,500,No,12-2018,No
eipk233308,681,No,07-2022,No
eipk233309,673,No,01-2022,No
eipk233310,668,No,05-2018,No
eipk233311,747,No,02-2024,No
eipk233312,607,No,04-2019,No
eipk233313,869,No,10-2018,No
eipk233314,796,No,02-2020,No
eipk233315,763,No,08-2022,No
eipk233316,915,No,11-2020,No
eipk233317,529,No,03-2018,No
eipk233318,801,No,09-2020,No
eipk233319,975,No,01-2021,No
eipk233320,860,No,12-2023,No
eipk233321,935,No,10-2020,No
eipk233322,851,No,04-2024,No
eipk233323,972,No,01-2021,No
eipk233324,981,No,02-2020,No
eipk233325,816,No,04-2023,No
eipk233326,724,No,03-2023,No
eipk233327,896,No,05-2018,No
eipk233328,588,No,03-2018,No
eipk233329,733,No,09-2022,No
eipk233330,667,No,12-2019,No
eipk233331,730,No,06-2023,No
eipk233332,625,No,05-2024,No
eipk233333,560,No,09-2021,No
eipk233334,619,No,10-2021,No
eipk233335,927,No,05-2019,No
eipk233336,996,No,06-2021,No
eipk233337,689,No,01-2020,No
eipk233338,620,No,12-2021,No
eipk233339,927,No,11-2020,No
eipk233340,547,No,03-2021,No
eipk233341,701,No,05-2022,No
eipk233342,558,No,10-2022,No
eipk233343,684,No,09-2021,No
eipk233344,722,No,04-2021,No
eipk233345,991,No,07-2019,No
eipk233346,510,No,12-2018,No
eipk233347,780,No,05-2023,No
eipk233348,688,No,12-2021,No
eipk233349,801,No,11-2022,No
eipk233350,809,No,06-2019,No
eipk233351,999,No,04-2023,No
eipk233352,736,No,11-2021,No
eipk233353,533,No,11-2019,No
eipk233354,839,No,08-2023,No
eipk233355,634,No,02-2018,No
eipk233356,980,No,02-2018,No
eipk233357,561,No,04-2019,No
eipk233358,812,No,08-2022,No
eipk233359,726,No,10-2018,No
eipk233360,592,No,01-2023,No
eipk233361,615,No,04-2020,No
eipk233362,831,No,01-2021,No
eipk233363,632,No,06-2021,No
eipk233364,831,No,03-2023,No
eipk233365,976,No,03-2021,No
eipk233366,918,No,07-2021,No
eipk233367,967,No,01-2020,No
eipk233368,792,No,08-2020,No
eipk233369,943,No,07-2021,No
eipk233370,692,No,04-2019,No
eipk233371,899,No,08-2022,No
eipk233372,529,No,05-2020,No
eipk233373,956,No,03-2024,No
eipk233374,797,No,07-2020,No
eipk233375,560,No,10-2019,No
eipk233376,957,No,09-2022,No
eipk233377,960,No,02-2021,No
eipk233378,803,No,10-2023,No
eipk233379,945,No,06-2023,No
eipk233380,839,No,01-2019,No
eipk233381,848,No,07-2018,No
eipk233382,947,No,08-2018,No
eipk233383,940,No,01-2019,No
eipk233384,823,No,12-2022,No
eipk233385,801,No,02-2018,No
eipk233386,868,No,03-2023,No
eipk233387,527,No,03-2024,No
eipk233388,984,No,02-2019,No
eipk233389,576,No,05-2019,No
eipk233390,620,No,03-2021,No
eipk233391,502,No,10-2021,No
eipk233392,536,No,01-2023,No
eipk233393,931,No,07-2022,No
eipk233394,646,No,11-2018,No
eipk233395,591,No,09-2020,No
eipk233396,838,No,06-2018,No
eipk233397,772,No,01-2021,No
eipk233398,965,No,05-2024,No
eipk233399,965,No,05-2021,No
eipk233400,876,No,04-2024,No
eipk233401,586,No,02-2021,No
eipk233402,539,No,01-2019,No
eipk233403,677,No,03-2021,No
eipk233404,828,No,12-2019,No
eipk233405,784,No,10-2020,No
eipk233406,934,No,07-2021,No
eipk233407,541,No,12-2021,No
eipk233408,784,No,09-2019,No
eipk233409,565,No,01-2024,No
eipk233410,623,No,04-2020,No
eipk233411,644,No,05-2020,No
eipk233412,619,No,06-2023,No
eipk233413,608,No,11-2019,No
eipk233414,914,No,12-2023,No
eipk233415,591,No,04-2023,No
eipk233416,990,No,01-2022,No
eipk233417,867,No,07-2022,No
eipk233418,807,No,07-2023,No
eipk233419,922,No,03-2024,No
eipk233420,559,No,05-2019,No
eipk233421,849,No,05-2020,No
eipk233422,726,No,07-2018,No
eipk233423,739,No,07-2019,No
eipk233424,934,No,08-2022,No
eipk233425,711,No,08-2021,No
eipk233426,899,No,03-2022,No
eipk233427,597,No,01-2021,No
eipk233428,513,No,02-2023,No
eipk233429,717,No,04-2023,No
eipk233430,967,No,01-2019,No
eipk233431,669,No,12-2018,No
eipk233432,806,No,10-2021,No
eipk233433,779,No,10-2023,No
eipk233434,862,No,04-2024,No
eipk233435,709,No,06-2019,No
eipk233436,755,No,09-2018,No
eipk233437,670,No,11-2023,No
eipk233438,572,No,04-2023,No
eipk233439,646,No,06-2018,No
eipk233440,839,No,11-2023,No
eipk233441,816,No,02-2021,No
eipk233442,605,No,10-2018,No
eipk233443,593,No,01-2018,No
eipk233444,562,No,06-2023,No
eipk233445,653,No,05-2019,No
eipk233446,754,No,04-2019,No
eipk233447,850,No,09-2022,No
eipk233448,534,No,05-2019,No
eipk233449,822,No,11-2018,No
eipk233450,811,No,05-2021,No
eipk233451,795,No,07-2022,No
eipk233452,752,No,11-2020,No
eipk233453,656,No,11-2020,No
eipk233454,633,No,04-2022,No
eipk233455,935,No,12-2018,No
eipk233456,628,No,02-2019,No
eipk233457,935,No,08-2023,No
eipk233458,779,No,09-2020,No
eipk233459,857,No,09-2018,No
eipk233460,917,No,02-2023,No
eipk233461,870,No,01-2022,No
eipk233462,751,No,05-2021,No
eipk233463,634,No,12-2019,No
eipk233464,830,No,05-2021,No
eipk233465,510,No,06-2023,No
eipk233466,791,No,05-2020,No
eipk233467,647,No,10-2023,No
eipk233468,818,No,02-2024,No
eipk233469,579,No,10-2021,No
eipk233470,690,No,01-2020,No
eipk233471,952,No,09-2020,No
eipk233472,843,No,07-2023,No
eipk233473,529,No,06-2023,No
eipk233474,913,No,04-2021,No
eipk233475,858,No,04-2024,No
eipk233476,867,No,07-2023,No
eipk233477,994,No,02-2023,No
eipk233478,728,No,01-2018,No
eipk233479,980,No,08-2018,No
eipk233480,583,No,04-2023,No
eipk233481,649,No,04-2024,No
eipk233482,860,No,04-2024,No
eipk233483,688,No,05-2019,No
eipk233484,520,No,08-2019,No
eipk233485,536,No,10-2021,No
eipk233486,745,No,09-2020,No
eipk233487,782,No,12-2019,No
eipk233488,601,No,10-2021,No
eipk233489,918,No,01-2019,No
eipk233490,793,No,10-2019,No
eipk233491,731,No,12-2018,No
eipk233492,815,No,03-2024,No
eipk233493,825,No,05-2018,No
eipk233494,787,No,03-2024,No
eipk233495,835,No,11-2019,No
eipk233496,975,No,11-2019,No
eipk233497,963,No,07-2022,No
eipk233498,910,No,06-2023,No
eipk233499,744,No,05-2024,No
eipk233500,886,No,09-2018,No
eipk233501,676,No,08-2022,No
eipk233502,712,No,07-2022,No
eipk233503,857,No,08-2022,No
eipk233504,601,No,03-2018,No
eipk233505,785,No,08-2019,No
eipk233506,521,No,01-2024,No
eipk233507,518,No,10-2022,No
eipk233508,786,No,01-2022,No
eipk233509,775,No,04-2020,No
eipk233510,994,No,02-2024,No
eipk233511,646,No,05-2020,No
eipk233512,885,No,05-2024,No
eipk233513,539,No,01-2022,No
eipk233514,666,No,02-2023,No
eipk233515,590,No,09-2018,No
eipk233516,571,No,08-2022,No
eipk233517,864,No,06-2021,No
eipk233518,937,No,07-2022,No
eipk233519,782,No,12-2023,No
eipk233520,834,No,07-2019,No
eipk233521,639,No,03-2019,No
eipk233522,738,No,01-2018,No
eipk233523,577,No,02-2018,No
eipk233524,698,No,02-2020,No
eipk233525,516,No,04-2023,No
eipk233526,717,No,02-2018,No
eipk233527,728,No,03-2018,No
eipk233528,839,No,01-2023,No
eipk233529,637,No,07-2018,No
eipk233530,646,No,10-2020,No
eipk233531,709,No,06-2023,No
eipk233532,657,No,11-2023,No
eipk233533,913,No,09-2018,No
eipk233534,652,No,12-2023,No
eipk233535,843,No,09-2023,No
eipk233536,829,No,09-2022,No
eipk233537,882,No,11-2022,No
eipk233538,949,No,07-2020,No
eipk233539,857,No,11-2019,No
eipk233540,851,No,05-2018,No
eipk233541,662,No,08-2023,No
eipk233542,806,No,05-2018,No
eipk233543,600,No,05-2024,No
eipk233544,826,No,10-2023,No
eipk233545,826,No,08-2020,No
eipk233546,654,No,01-2021,No
eipk233547,509,No,08-2023,No
eipk233548,852,No,01-2021,No
eipk233549,926,No,09-2019,No
eipk233550,682,No,11-2022,No
eipk233551,954,No,07-2023,No
eipk233552,633,No,06-2021,No
eipk233553,505,No,01-2024,No
eipk233554,832,No,12-2022,No
eipk233555,931,No,08-2022,No
eipk233556,832,No,12-2019,No
eipk233557,757,No,08-2022,No
eipk233558,710,No,11-2021,No
eipk233559,550,No,08-2018,No
eipk233560,944,No,04-2023,No
eipk233561,646,No,03-2021,No
eipk233562,997,No,01-2021,No
eipk233563,876,No,10-2021,No
eipk233564,627,No,06-2022,No
eipk233565,985,No,07-2021,No
eipk233566,757,No,12-2022,No
eipk233567,550,No,06-2019,No
eipk233568,653,No,10-2022,No
eipk233569,569,No,04-2023,No
eipk233570,775,No,06-2022,No
eipk233571,778,No,01-2022,No
eipk233572,809,No,02-2021,No
eipk233573,898,No,01-2019,No
eipk233574,633,No,09-2023,No
eipk233575,719,No,10-2019,No
eipk233576,662,No,08-2023,No
eipk233577,958,No,02-2019,No
eipk233578,635,No,01-2023,No
eipk233579,556,No,01-2021,No
eipk233580,933,No,08-2023,No
eipk233581,676,No,05-2023,No
eipk233582,614,No,12-2021,No
eipk233583,998,No,01-2018,No
eipk233584,971,No,06-2018,No
eipk233585,648,No,03-2020,No
eipk233586,740,No,06-2021,No
eipk233587,622,No,09-2021,No
eipk233588,791,No,06-2019,No
eipk233589,826,No,09-2019,No
eipk233590,568,No,09-2018,No
eipk233591,813,No,02-2020,No
eipk233592,562,No,11-2022,No
eipk233593,720,No,01-2020,No
eipk233594,515,No,06-2022,No
eipk233595,889,No,07-2020,No
eipk233596,577,No,08-2018,No
eipk233597,621,No,06-2020,No
eipk233598,935,No,05-2019,No
eipk233599,757,No,05-2022,No
eipk233600,716,No,11-2020,No
eipk233601,978,No,11-2021,No
eipk233602,613,No,12-2019,No
eipk233603,869,No,03-2022,No
eipk233604,960,No,12-2022,No
eipk233605,879,No,07-2020,No
eipk233606,645,No,09-2020,No
eipk233607,964,No,02-2018,No
eipk233608,736,No,05-2018,No
eipk233609,975,No,03-2023,No
eipk233610,959,No,11-2020,No
eipk233611,918,No,06-2018,No
eipk233612,585,No,04-2022,No
eipk233613,666,No,07-2020,No
eipk233614,628,No,10-2021,No
eipk233615,664,No,12-2018,No
eipk233616,776,No,11-2022,No
eipk233617,756,No,10-2023,No
eipk233618,631,No,11-2021,No
eipk233619,979,No,08-2019,No
eipk233620,557,No,09-2019,No
eipk233621,756,No,01-2021,No
eipk233622,640,No,03-2023,No
eipk233623,673,No,06-2022,No
eipk233624,674,No,05-2023,No
eipk233625,708,No,02-2022,No
eipk233626,703,No,05-2019,No
eipk233627,506,No,05-2019,No
eipk233628,550,No,11-2021,No
eipk233629,758,No,04-2024,No
eipk233630,677,No,03-2020,No
eipk233631,909,No,05-2023,No
eipk233632,530,No,04-2018,No
eipk233633,855,No,09-2018,No
eipk233634,817,No,01-2022,No
eipk233635,653,No,05-2020,No
eipk233636,950,No,06-2022,No
eipk233637,863,No,07-2022,No
eipk233638,554,No,05-2020,No
eipk233639,655,No,03-2020,No
eipk233640,543,No,07-2019,No
eipk233641,580,No,07-2023,No
eipk233642,665,No,11-2022,No
eipk233643,994,No,08-2020,No
eipk233644,529,No,06-2020,No
eipk233645,821,No,11-2020,No
eipk233646,635,No,06-2019,No
eipk233647,513,No,09-2019,No
eipk233648,856,No,12-2023,No
eipk233649,982,No,12-2021,No
eipk233650,605,No,06-2022,No
eipk233651,858,No,10-2019,No
eipk233652,817,No,10-2023,No
eipk233653,574,No,08-2020,No
eipk233654,946,No,03-2023,No
eipk233655,578,No,07-2019,No
eipk233656,693,No,06-2020,No
eipk233657,984,No,07-2023,No
eipk233658,862,No,12-2019,No
eipk233659,595,No,02-2020,No
eipk233660,539,No,10-2021,No
eipk233661,755,No,05-2020,No
eipk233662,896,No,02-2019,No
eipk233663,606,No,05-2018,No
eipk233664,516,No,08-2020,No
eipk233665,514,No,07-2020,No
eipk233666,916,No,04-2023,No
eipk233667,998,No,08-2018,No
eipk233668,771,No,01-2018,No
eipk233669,998,No,02-2024,No
eipk233670,512,No,07-2021,No
eipk233671,746,No,08-2019,No
eipk233672,713,No,04-2020,No
eipk233673,650,No,10-2020,No
eipk233674,791,No,05-2018,No
eipk233675,542,No,04-2020,No
eipk233676,933,No,12-2022,No
eipk233677,613,No,02-2018,No
eipk233678,829,No,12-2020,No
eipk233679,580,No,03-2020,No
eipk233680,849,No,02-2020,No
eipk233681,640,No,08-2020,No
eipk233682,529,No,03-2020,No
eipk233683,940,No,05-2019,No
eipk233684,993,No,01-2024,No
eipk233685,529,No,10-2023,No
eipk233686,954,No,05-2020,No
eipk233687,765,No,12-2023,No
eipk233688,598,No,02-2021,No
eipk233689,949,No,02-2022,No
eipk233690,593,No,06-2022,No
eipk233691,710,No,12-2018,No
eipk233692,794,No,06-2019,No
eipk233693,536,No,01-2022,No
eipk233694,886,No,06-2023,No
eipk233695,588,No,02-2024,No
eipk233696,917,No,02-2018,No
eipk233697,754,No,01-2021,No
eipk233698,713,No,03-2023,No
eipk233699,921,No,06-2020,No
eipk233700,513,No,12-2022,No
eipk233701,691,No,02-2019,No
eipk233702,794,No,11-2023,No
eipk233703,681,No,03-2022,No
eipk233704,629,No,04-2019,No
eipk233705,723,No,05-2023,No
eipk233706,542,No,09-2022,No
eipk233707,680,No,05-2024,No
eipk233708,886,No,04-2022,No
eipk233709,668,No,01-2024,No
eipk233710,763,No,03-2018,No
eipk233711,973,No,05-2022,No
eipk233712,595,No,04-2021,No
eipk233713,702,No,02-2022,No
eipk233714,997,No,12-2021,No
eipk233715,946,No,06-2021,No
eipk233716,820,No,05-2021,No
eipk233717,834,No,08-2019,No
eipk233718,887,No,01-2019,No
eipk233719,567,No,02-2022,No
eipk233720,591,No,06-2023,No
eipk233721,765,No,01-2024,No
eipk233722,830,No,06-2020,No
